CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
344,Extension of 05686/85 Bir-Khandwa Passenger upto Sanwad,19.12.2023,CC-344-2023-EXT-BIR-KHANDWA%20UPTO%20SANAWAD.pdf,EX
343,"Stoppage of train services at Phagwara, Dasuya & Tanda Urmar",19.12.2023,CC%20343.pdf,ST
342,Stoppage of 11077/78 Pune-Jammu Tawi Express at Talbahat,19.12.2023,CC%20342.pdf,ST
341,13023/24 Howrah-Gaya Express & 13235/56 Sahibganj-Danapur Express at Mirzachowki,15.12.2023,CC%20341.pdf,13
340,Stoppage of 18621/22 Ranchi-Patna Patliputra Express at Mathurapur,15.12.2023,CC%20340.pdf,ST
339,Extension of 58504/03 Visakhapatnam-Rayagada Passenger upto Bhawanipatna,15.12.2023,CC%20339%20Extens%20upto%20BWIP.pdf,EX
338,Introduciton of 22415/16 Banaras-New Delhi Vande Bharat Express,15.12.2023,CC%20338-intro-Banaras%20Delhi.pdf,IN
337,Introduction of 05478/77 Mau-Dohrighat Special,15.12.2023,CC%20337-intro-Mau-Dohrighat.pdf,IN
336,Stoppage of 12251/52 Yesvantpur-Korba Wainganga Express at Wadsa,13.12.2023,CC%20336%20Stop%20at%20Wadsa.pdf,ST
335,Introduction of a newly weekly train between Kanniyakumari and Banaras,13.12.2023,CC%20No_%20335.pdf,IN
334,"Diversion of 19207/08 Porbandar-Veraval Express via Jetalsar to Rajkot, extension of 09568/65 Bhavnagar-Jetalsar Passenger upto Porbandar and extension of 09566/67 Bhavnagar-Jetalsar Passenger upto  Veraval.",13.12.2023,CC%20334%20Extens.pdf,DI
333,Stoppage of 12481/82 Delhi-Sri Ganganagar Express at Tohana,13.12.2023,CC%20333%20stop%20Tohana.pdf,ST
332,Change in Terminals of 17063/64 Manmad-Secunderabad Ajanta Express to Kacheguda with additional stoppage at Malkagiri and 17057/58 Mumbai CSMT-Secunderabad Devagiri Express to Lingampalli,12.12.2023,CC%20332%20Change%20%20in%20Terminal.pdf,CH
331,Introduction of Sealdah-Balurghat Express,08.12.2023,CC%20331%20Intro%20from%20Sealdah%20to%20Balurghat.pdf,IN
330,Stoppage of 04151/52 Kanpur Central-Lokmanya Tilak (T) Special at Sirathu and Bharwari,07.12.2023,CC%20330.pdf,ST
329,"Introduction of unreserved special train between Coimbatore and Pollachi, integration of 22667/68 Nagercoil-Coimbatore Express, 16615/16 Mannargudi-Coimbatore Express and 06419/20 Coimbatore-Pollachi Express, change in days of service of 22665/66 KSR Bengaluru-Coimbatore Uday Express and discontinuation of 03357/58 Barauni-Coimbatore TOD Special",05.12.2023,CC-329-2023-INTRO-COIMBATORE-POLLACHI.pdf,IN
328,Rerouting of 22605/06 Villupuram-Purulia Express and  22603/04 Villupuram-Kharagpur Express via Perambur alongwith augmentation and their extension upto Tirunelveli  ,05.12.2023,CC-328-2023-EXT-PRR-VILLUPURAM%20TO%20TEN%20ETC.pdf,RE
327,Extension of 03277/78 Danapur-Raghunathpur Passenger Special upto Buxar,05.12.2023,CC-327%20Extn%20Patna-Buxar.pdf,EX
326,Stoppage of 12323/24 Howrah-Barmer Express at Sasaram,06.12.2023,CC-326-2023-STOP-SASARAM-12323-24%20EXP.pdf,ST
325,Introduction of Tatanagar-Badampahar MEMU service,05.12.2023,CC-325-2023-INTRO-TATA-BADAMPAHAR.pdf,IN
324,Introduction of 03 pairs of MEMU service between Balasore and Gopinath Nilgiri,05.12.2023,CC-324-2023-INTRO-BALASORE-GOPINATHPUR%20NILGIRI.pdf,IN
322A,Introduction of a weekly  train service from Mau to Lokmanya Tilak Terminus,07.12.2023,CC-322A-2023-INTRO-MAU-LTT.pdf,IN
322,Introduction of train service between Mau and Mumbai (LTT),21.11.2023,CC-322%20Introduction%20of%20new%20train%20service%20between%20Mau%20and%20Mumbai.pdf,IN
321,Change in days of operation of 22447/48 New Delhi-Amb Andaura Vande Bharat Express and 22439/40 New Delhi-SVD Katra Vande Bharat Express,17.11.2023,CC-321-2023-CID-2%20PAIRS%20OF%20VB.pdf,CH
320,Extension of 11071/72 Lokmanya Tilak (T)-Banaras Express upto Ballia,17.11.2023,CC-320%20LTT%20to%20Balia.pdf,EX
319,Stoppage of 15073/74 Singrauli-Tanakpur Triveni Express at Obradam,17.11.2023,CC-319%20Obradam%20Stop.pdf,ST
318,Stoppage of 03631/32 Natesar-Fatuha Passenger Special at Aungaridham,17.11.2023,CC-318%20Anguridham.pdf,ST
317,Stoppage of 15231/32 Barauni-Gondia Express at Salekasa,17.11.2023,CC-317-2023-STOP-SALEKASA.pdf,ST
316,Stoppage of 12945/46 Veraval-Banaras Express at Tundla,17.11.2023,CC-316-2023-STOP-TUNDLA%20(1).pdf,ST
315,Stoppage of 11753/54 Itwari-Rewa Express  & 20813/14 Puri-Jodhppur Express at Kamptee,15.11.2023,CC-315.pdf,ST
314,"Stoppage of 14259/60 Gaya-Lucknow Ekatmata Express at Rafiganj, 13347/48 Barkakana-Patna Palamu Express at Jakhim and 13009/10 Howrah-Yog Nagari Rishikesh Doon Express at Phesar",15.11.2023,CC-314.pdf,ST
313,Stoppage of 14113/14 Subedarganj-Dehradun Express at Jhinjhak & 19615/16 Udaipur-Kamakhya Express at Kannauj,15.11.2023,CC-313.pdf,ST
312,Stoppage of 15073/74 Singrauli-Tanakpur Triveni Express at Mirchadhuri,15.11.2023,CC%20-312.pdf,ST
311,Stoppage of 12538 Prayagraj Rambagh-Muzaffarpur Express at Mehsi,15.11.2023,CC%20311%20STOP%20MEHSI.pdf,ST
310,Introduction of 75222/21 Vaishali-Sonpur DEMU service,14.11.2023,CC%20310%20SONPUR%20VAISHALI.pdf,IN
309,Stoppage of 15125/26 Patna-Manduadih Janshatabdi Express at Bihiya and stoppage of 03611/12 Patna Sasaram Passenger Special at Kasap,14.11.2023,CC%20309.pdf,ST
308B ,Extension of 20977/78 Ajmer-Delhi Cantt Vande Bharat Express to Chandigarh,30.11.2023,CC-308B-2023-EXT-AJMER-DEC%20VB%20TO%20CDG.pdf,EX
308A,"Extension of 20661/62 KSR Bengaluru-Dharwar Vande Bharat Express upto Belagavi, Extension of 22925/26 Ahmedabad-Jamnagar Vande Bharat Express upto Udhna and extension of 22549/50 Gorakhpur-Lucknow Vande Bharat Express upto Prayagraj",14.11.2023,CC%20308%20A.pdf,EX
306,Restoration of 08739/40 Bilaspur-Shahdol MEMU Passenger Special during festival period,10.11.2023,CC%20306.pdf,RE
305,Diversion of 08 pairs of train services via Achhnera Chord Line,14.11.2023,CC%20305.pdf,DI
304,"Stoppage of 14523/24 Barauni-Ambala Cantt. Express, 15232 Gondia-Barauni Express and 15049 Kolkata-Gorakhpur Express at Suraimanpur",10.11.2023,CC%20304.pdf,ST
303,Elimination of stoppage of 16855/56 Puducherry-Mangaluru Express (weekly) at Salem Town,10.11.2023,CC%20303.pdf,EL
302,12537 Muzaffarpur-Prayagraj Rambagh Express at Mehsi and 15705/06 Katihar-Delhi Humsafar Express at Chakia,06.11.2023,CC%20302.pdf,12
301,"Stoppage of 17001/02 Sainagar Shirdi-Secunderabad Express, 17205/06 Sainagar Shirdi-Kakinada Port Express and 17207/08 Sainagar Shirdi-Vijaywada Express at Kamalnagar",06.11.2023,CC%20301.pdf,ST
300,Introduction of 11011/12 Chhatrapati Shivaji Maharaj(T)-Dhule Express,03.11.2023,CC%20300.pdf,IN
299,"Stoppage of 04571 Bhiwani-Dhuri Special, 04572 Dhusi-Sirsa Special, 04744 Ludhiana-Churu Special, 04745 Churu-Ludhiana Special at Gajuwala",28.10.2023,CC299.pdf,ST
298,Stoppage of 12945/46 Veraval-Banaras Express at Bavla,06.11.2023,CC298.pdf,ST
297,Extension of 40 Port Line EMU services from Kharkopar to Uran,03.11.2023,CC297.pdf,EX
296,Stoppage of 18109/10 Tatanagar-Itwari Express and 18113/14 Tatangar-Bilaspur Express at Himgir,28.10.2023,CC%20296.pdf,ST
295,Extension of 05086/85 Lucknow-Mailani Special upto Shahgarh,26.10.2023,CC%20295.pdf,EX
294,Introduction of a new MEMU service between Raxaul and Mehsi,26.10.2023,CC%20294.pdf,IN
293,Stoppage of 13401/02 Bhagalpur-Danapur Express at Masudan,27.10.2023,CC%20293.pdf,ST
292,"Stoppage of train services at Ghunas, Hadiaya, Alal, Darzpur, Tandwal and Pirthala Lalauda",25.10.2023,CC%20292.pdf,ST
291,Stoppage of 12891/92 Bangriposi-Puri Express at Haldipada,25.10.2023,CC%20291.pdf,ST
290A,Modification in CC NO. 290,13.11.2023,CC%20290A.pdf,MO
290,Stoppage of 03629/30 Danapur-Tilaiya Passenger Special at Hardas Bigha and 03273/74 Jhajha-Patna MEMU at Teka Bigha,25.10.2023,CC%20290.pdf,ST
289,Stoppage of 11447/48 Jabalpur-Howrah Shaktipunj Express at Ramna,25.10.2023,CC%20289.pdf,ST
288,Stoppage of 13071/72 Howrah-Jamalpur Express and 13161/62 Kolkata-Balurghat Tebhaga Express at Murarai,20.10.2023,CC%20288.pdf,ST
287,Stoppage of 16381/82 Pune-Kanniyakumari Express at Razampeta,20.10.2023,CC%20287.pdf,ST
286,Stoppage of 13245/46 New Jalpaiguri-Rajendra Nagar (T) Capital Express and 13247/48 Kamakhya-Rajendra Nagar(T) Capital Expressat Aluabari Road,20.10.2023,CC%20286.pdf,ST
285,Stoppage of 20633/64 Kasargod-Thiruvananthpuram Vande Bharat Express at Chengannur,20.10.2023,CC-285%20STOP.pdf,ST
284,Stoppage of 18447/48 Bhubaneswar-Jagdalpur Express at Ganjam,20.10.2023,CC%20284.pdf,ST
283,Stoppage of 04159/60 Kanpur-Etawah MEMU at Patra Halt,19.10.2023,CC%20283.pdf,ST
282,"Introduction of Shalimar-Badampahar Express, Badampahar-Rourkela Express, Rourkela-Tatanagar MEMU  & Tatanagar-Badampahar MEMU service",17.10.2023,CC%20282.pdf,IN
281,Stoppage of 16256 KSR Bengaluru-Kanniyakumari Express at Dhanuvachapuram,16.10.2023,CC%20281.pdf,ST
280,Additional stoppage of 06027/28 Tambaram-Villupuram MEMU Special at Paranur and certain other stations,16.10.2023,CC%20280.pdf,AD
279,"Stoppage of train service at Jandhera Halt, Usmanpur Dehat Halt, Jandhera Halt & Khandrawali",16.10.2023,CC%20279.pdf,ST
278,Shifting of Maintenance Depot of 12915/16 Ahmedabad-Delhi Sabarmati Express from Ahmedabad to Sabarmati,16.10.2023,CC%20278.pdf,SH
277,Introduction of 16577/78 Bidar-Yesvantpur Express,16.10.2023,CC-277.pdf,IN
276,Introduction of 19203/04 Bandra(T)-Veraval Express,16.10.2023,CC-276-2023%20INTRO%20VRL-BDTS.pdf,IN
275,Stoppage of 22737/38 Secunderabad-Hisar Express at Dharangaon and 19003/04 Bandra(T)-Bhusaval Kahndesh Express at Vapi,16.10.2023,CC%20275%20stoppage%20at%20dharangaon%20and%20vapi.pdf,ST
274,Stoppage of 17649/50 Hyderabad-Aurangabad Express at Pangaon,16.10.2023,CC%20274%20stoppage%20at%20Pangaon.pdf,ST
273,Stoppage of 12893/12894 Bhubaneswar-Balangir Express at Bamur,16.10.2023,CC%20273.pdf,ST
272,Diversion of 11026/25 Pune-Bhusaval Express via Daund Chord Line/Ahmedabad/Manmad and extension upto Amravati and Increase in frequency of 12119/20 Amravati-Nagpur Express from 6 days to dailly,20.10.2023,CC%20272.pdf,DI
271,"Stoppage of 16333/34 Veraval-Thiruvanathpuram Express, 16335/36 Gandhidham-Nagercoil Express & 19259/60 Kochuveli-Bahvanagar Express at Mangaon",16.10.2023,CC%20271.pdf,ST
270,Stoppage of 14115/16 Dr. Ambedkar Nagar-Prayagraj Express & 12535/36 Lucknow-Raipur Garib Rath Express at Atarra,09.10.2023,CC-270%20STOP.pdf,ST
269,Stoppage of 20173/74 Rani Kamlapati-Jabalpur Vande Bharat Express upto Rewa.,08.10.2023,CC-269%20EXTN%20OF%2020173%2074%20VB%20UPTO%20REWA.pdf,ST
268,Extension of 20911/12 Indore-Bhopal Vande Bharat Express upto Nagpur,08.10.2023,CC-268%20INDB%20NGP.pdf,EX
267,"Stoppage of train services at Dornakal, Khammam, Itikyala, Nalgonda, Cityala and Shankarpalli",08.10.2023,CC%20267.pdf,ST
266,Stoppage of 12187/88 Jabalpur-CSMT Garib Rath Express at Shridham,07.10.2023,CC-266-2023-STOP-SRIDHAM.pdf,ST
265,Regularisation of 04044/43 Nizamuddin-Ambikapur Express TOD Special,06.10.2023,CC-265%20AMBIKAPUR-NZM%20REGULARISATION.pdf,RE
264,Stoppage of 17307/17308 Mysuru-Bagalkot Basava Express at Nimbal,06.10.2023,CC-264%20NIMBAL%20STOP.pdf,ST
263,Stoppage of 19483/84 Ahmbedabad-Barauni Express & 22967/68 Ahmedabad-Prayagraj Express at Burhanpur,06.10.2023,CC-263-STOP%20BURHANPUR.pdf,ST
262,Change in timings of 10107/08 Madgaon-Magalore Central Express,06.10.2023,CC-262.pdf,CH
261,"Stoppage of train services at Mohana, Shadhoragaon, Pipraigaon, Badarwas, Maban and Ashok Nagar",06.10.2023,CC-261-2023-STOP-MOHANA-CC-261-SHADHORAGAON-PIPARGAON-BADARWAS-MABAN-ASHOK%20NAGAR%2006-Oct-2023%2010-30-55.pdf,ST
260,Stoppage of 18241/18242 Durg-Ambikapur & 18755/18756 Express at Udalkachhar & Nagpur Road,06.10.2023,CC-260-2023-STOP-UDALKACHHAR-NAGPUR%20ROAD%2006-Oct-2023%2010-19-47%20(1).pdf,ST
259,Stoppage of 11463/11464 Veraval-Jabalpur Express at Salichauka Road,06.10.2023,CC-259-2023-STOP-SALICHAUKA%20ROAD%2006-Oct-2023%2010-22-47.pdf,ST
258,Stoppage of 12751/52 Hazur Sahib Nanded Jammu Tawi Humsafar Express at Khandwa,05.10.2023,CC-258%20HALT%20AT%20KNW.pdf,ST
257,"Stoppage of train services at Jaora, Dhodhar, Dalauda, Bisalwas Kalan",05.10.2023,CC-257%202023%20Stoppages%20JAO%2C%20DOD%2C%20DLD%20and%20BIWK.pdf,ST
256,Stoppage of 18573/74 Visakhapatnam-Bhagat Ki Kothi Express & 22847/22848 Visakhapatnam-Lokmanya Tilak (T) Express at Bagbahara,05.10.2023,CC-256-2023-STOP-BAGBAHRA.pdf,ST
255,"Stoppage of train services at Semari, Dhanakya, Dhindha Getor Jagatpura",05.10.2023,CC-255-2023-STOP-SEMARI-DHANKAYA-DHINDHA-GETOR%20JAGATPURA.pdf,ST
254,Introduction of MEMU service on Gwalior-Sumaoli section.,30.09.2023,CC-254-2023-INT-GWL-SUMAOLI.pdf,IN
253,"Stoppage of train services at Chaumahla, Jhalawar City, Antah and Salpura",30.09.2023,CC-253-2023-STOP-CHAUMAHLA-JHALAWAR-ANTAH.pdf,ST
252,Change in terminal of 14511/12 Prayagraj Sangam-Saharanpur Nauchandi Express from Merrut City/Saharanpur to Prayagraj Sangam,29.09.2023,CC-252-2023-CITERM-14511-12%20NAUCHANDI%20TO%20PRAYAGRAJ.pdf,CH
251,Extension of 08833/34 (78833/34)Raipur-Antagarh DEMU upto Taroki,30.09.2023,CC-251-2023-EXT-R-ANTAGARH%20TO%20TAROKI.pdf,EX
250,Introduction of train service between Siddipet and Secunderabad and Kacheguda and Raichur,30.09.2023,CC-250-2023-INTRO-SC-SIDDIPET%20AND%20KCG-RAICHUR.pdf,IN
249,"Stoppage of train services at New Mainaguri, New Mal, Hamiltonganj and Kamakhyaguri",29.09.2023,CC-249-2023-STOP-NEW%20MAINAGURI-NEW%20MAL-HAMILTONGANJ-KAMAKHYAGURI.pdf,ST
248A,Stoppage of Delhi-Jaisalmer Runicha Express at Nawa City,05.10.2023,CC-248A-2023-STOP-NAWA%20CITY.pdf,ST
248,"Introduction of new train between Delhi and Jaisalmer viz. Delhi-Jaisalmer Runicha Express, Increase in frequency of 14661/62 Barmer-Jammu Tawi Express and discontinuation of the services of 14645/66 Jaisalmer-Jammu Tawi Express",29.09.2023,CC-248-2023-INT-DELHI-JAISALMER.pdf,IN
247,"Stoppage of 18235/36 Bhopal-Bilaspur Express, 18247/48 Bilaspur-Rewa Express, 11751/52 Rewar-Chirmiri Exprress at Chandia Road and 18241/42 Durg-Ambikapur Express, 18247/48 Bilaspur-Rewa Express and 58219/20 (18257/58) Bilaspur-Chirmiri Express at Jaithari",29.09.2023,CC-247-2023-STOP-CHANDIA%20ROAD-JAITHARI.pdf,ST
246,Stoppage of 14724 Bhiwani-Prayagraj Express at Kalyanpur and 15009/10 Gorakhpur-Mailani Express at Mohibullapur,20.10.2023,CC%20246.pdf,ST
245,"Stoppage of 15069/70 Gorakhpur-Aishbag Express at Campierganj, Peppeganj, Sahjanwa and Pipraich",29.09.2023,CC-245-STOP%20COMPIERGANJ%20PIPRAICH%20SAHJANWA%20PEPPEGANJ.pdf,ST
244,"Stoppage of train services at Bhattu, Bawani Khera, Kosli, Jatusana, Charkhi Dadri and Ateli",29.09.2023,CC%20244%20BHATTU%2C%20BHAWANI%20KHERA%2C%20KOSLI%2C%20JATUSANA%2C%20CHARKHI%20DADRI%2C%20ATELI.pdf,ST
243,Extension of 12513/14 Secunderabad-Guwahati Express (weekly) upto Silchar and 12519/20 Lokmanya Tilak (T)-Kamakhya Express (weekly) upto Agartala,27.09.2023,CC-243-SC-SLCHR.pdf,EX
242,Introduction of new train service between Anand Vihar (T) and  Kotdwar,27.09.2023,CC%20242-INTRO-%20ANVT%20KOTDWAR.pdf,IN
241,Extension of 18311/12 Sambalpur-Banaras Express upto Visakhapatnam,25.09.2023,CC-241-2023%20Extn%20to%20VSKP.pdf,EX
240,Stoppage of 22165/66 Singrauli-Bhopal Express and 22167/68 Singrauli-Nizamuddin Express as Urjadhani Express,22.09.2023,CC%20240.pdf,ST
239,"Introduction of 20665/66 Chennai Egmore-Tirunelveli Vande Bharat Express, 20677/78 MGR Chennai-Vijayawada Vande Bharat Express, 22348/47 Patna-Howrah Vande Bharat Express, 20703/04 Secunderabad (Kacheguda)-Bengaluru (Yesvantpur) Vande Bharat Express, 20835/36 Roukela-Puri Vande Bharat Express, 20631/32 Kasargod-Thiruvanathapuram Vande Bharat Express, 20979/80 Udaipur-Jaipur Vande Bharat Express, 22695/26 Jamnagar-Ahmedabad (Sabarmati) Vande Bharat Express, 20898/97 Ranchi-Howrah Vande Bharat Express.",22.09.2023,CC-239-2023-INTRO-9%20PAIRS%20OF%20VB%20SERVICES.pdf,IN
238,Provision of additional stoppages of 15515/16 Danapur-Sagauli Express at Dharminiya and Masnadih,22.09.2023,CC-238-2023-STOP-DHARMINIYA%20%26%20MASNADIH.pdf,PR
237,Stoppage of 15125/26 Banaras-Patna Express at Karahia Halt.,21.09.2023,CC%20No_237%202023.pdf,ST
236,Introduction of Dahod-Vadodara MEMU (Daily) Service,19.09.2023,CC-236.pdf,IN
235,Stoppage of 13249/50 Patna-Bhabhua Road Express at Sadisopur,19.09.2023,CC-235.pdf,ST
234,Extension of 19105/06 Udhna-Paldhi MEMU upto Bhusaval and Change in timings of 09377/78 Udhna-Nandurbar MEMU.,15.09.2023,CC-234.pdf,EX
233,"Stoppage of train services at Babina, Chirgaon and Barwa Sagar",13.09.2023,CC-233.pdf,ST
232,"Extension of 19421/22 Patna-Ahmedabad Express, 22967/68 Prayagraj-Ahmedabad Express, 19413/14 Kolkata-Ahmedabad Express, 11049/50 Kolhapur-Ahmedabad Express, 22137/38 Nagpur-Ahmedabad Express and 12917/18 H. Nizamuddin-Ahmedabad Express upto Rajkot",13.09.2023,CC%20232.pdf,EX
231,Extension of 18240 Itwari-Bilaspur Express upto Gevra Road with merger with 08212(58212)Bilaspur-Gevra Road Passenger and change in timings of 12855/56 Itwari-Bilaspure Express,12.09.2023,CC-231%202023.pdf,EX
230,Stoppage of 22609/10 Mangaluru Central-Coimbatore Express at Nileshwar,12.09.2023,CC-230-2023-STOP-NILESHWAR.pdf,ST
229,Introduction of train service between Ujjain and Chittaurgarh via Fatehabad-Chandrawatiganj,13.09.2023,CC%20229%20INTRO%2069231.pdf,IN
228,Speeding up of 19567/68 Turitcorin-Okha Vivek Express and operation via Madurai-Tirumangalam-Virudunagar,05.09.2023,CC%20228.pdf,SP
227,Increase in frequency of 16585/86 SMVT Bengaluru-Mangaluru Express from 6 days a week to daily,05.09.2023,CC%20227.pdf,IN
226,Extension of 19791/14825 Jaipur-Hisar Express upto Bathinda,04.09.2023,CC%20226.pdf,EX
225,Extension of 18183/18184 Tatanagar-Danapur Express upto Ara,04.09.2023,CC%20225.pdf,EX
224,Extension of 13305/06 Dhanbad-Dehri On Sone Express upto Sasaram,04.09.2023,CC%20224.pdf,EX
222,Extension of 13173/74 Sealdah-Agartala Kanchenjungha Express upto Sabroom,05.09.2023,CC%20222.pdf,EX
221,Extension of 04119/04120 Khajuraho-Tikamgarh Special upto Virangana Laxmibai Jhansi & its operation with MEMU rake,04.09.2023,CC%20221.pdf,EX
220,Stoppage of 12535/36 Lucknow Jn-Raipur Garib Rath Express at Ragaul station.,30.08.2023,CC%20220.pdf,ST
219,Change in timings of 14309 Laxmibai Nagar-Dehradun Express and 14317 Indore-Dehradun Express.,30.08.2023,CC%20219(1).pdf,CH
218,Introduction of new train service between Veraval and Banaras,29.08.2023,CC%20218.pdf,IN
217,Introduction of new train between Bhavnagar and Haridwar,28.08.2023,CC%20217.pdf,IN
216,Introduction of Bikaner-Amritsar Express service ,28.08.2023,CC-216.pdf,IN
215,"Stoppage of 12471/72 Bandra (T)-Shri Mata Vaishno Devi Katra Swaraj Express, 12473/74 Gandhidham-Shri Mata Vaishno Devi Katra Sarvodaya Express, 12475/76 Hapa-Shri Mata Vaishno Devi Katra Express and 12477/78 Jamnagar-Shri Mata Vaishno Devi Katra Express",28.08.2023,CC%20215.pdf,ST
214,Introduction of 17665/66 H.S.Nanded-Lokmanya Tilak (T) and 17667/68 H. S.Nanded-Lokmnaya Tilak(T) Express,29.08.2023,CC-214%20INTRO.pdf,IN
213,Introduction of 12997/98 Bandra(T)-Barmer Express and 19009/10 Bandra(T)-Barmer Express,29.08.2023,CC-213%20INTRO%20.pdf,IN
212,"Operation of 12577/78 Darbhanga-Mysuru Express, 12551/52 SMVT Bengaluru-Kamakhya Express and 22531/52 SMVT Bengaluru-Patliputra Express via Perambur with stoppage at Perambur and several other matters. ",28.08.2023,CC%20212.pdf,OP
211A,Modification in CC No. 211 regarding extension of 20974/73 Rameshwar-Ajmer Humsafar Express upto Firozpur cantt.,29.09.2023,CC%20211A.pdf,MO
211,Extension of 20973/20974 Ajmer-Rameswaram Humsafar Express (weekly service) upto Firozpur Cantt.,25.08.2023,CC%20211.pdf,EX
210,Extension of 17020/17019 Hyderabad-Jaipur Express (weekly ) upto Hisar,25.08.2023,CC%20210.pdf,EX
209,Introduction of Budgam-Banihal DEMU service,23.08.2023,CC-209.pdf,IN
208,Extension of 15611/12 Silchar-Guwahati Express upto Rangiya ,23.08.2023,CC-208.pdf,EX
207,Introduction of 15617/18 Dullabcherra-Guwahati Express ,23.08.2023,CC-207.pdf,IN
206,Stoppage of 12003/04 Lucknow-New Delhi Shatabdi Express at Phahund,23.08.2023,CC-206.pdf,ST
